0.003736 2:1 4:2 8:2 13:2 
0.004990 2:1 4:2 8:2 13:4 
0.005337 2:1 4:2 8:2 15:4 
0.003532 2:1 4:2 8:1 15:3 
0.003435 2:1 4:2 8:3 15:3 
0.005595 2:1 4:2 8:0 15:6 
0.001927 2:1 4:2 8:5 15:2 
0.002529 2:1 4:2 8:4 15:1 
0.006330 2:1 4:2 8:1 15:4 
0.009581 2:1 4:2 8:1 14:1 
0.007369 2:1 4:2 8:0 15:5 
0.004048 2:1 4:2 8:0 14:5 
0.002405 2:1 4:2 8:3 15:1 
0.004446 2:1 4:2 8:0 13:4 
0.004959 2:1 4:2 8:0 15:8 
0.006833 2:1 4:2 8:0 13:1 
0.004218 2:1 4:2 8:2 15:2 
0.006286 2:1 4:2 8:2 15:6 
0.002065 2:1 4:2 8:1 13:3 
0.003084 2:1 4:2 8:3 14:2 
0.007937 2:1 4:2 8:1 14:2 
0.002117 2:1 4:2 8:6 15:1 
0.003604 2:1 4:2 8:3 15:5 
0.003124 2:1 4:2 8:3 14:1 
0.001536 2:1 4:2 8:6 14:1 
0.003112 2:1 4:2 8:4 14:2 
0.001002 2:1 4:2 8:3 13:5 
0.010927 2:1 4:2 8:0 13:6 
0.002928 2:1 4:2 8:5 14:2 
0.003664 2:1 4:2 8:3 15:4 
0.009212 2:1 4:2 8:1 14:6 
0.006979 2:1 4:2 8:0 14:1 
0.004877 2:1 4:2 8:4 14:4 
0.005429 2:1 4:2 8:2 15:3 
0.004879 2:1 4:2 8:0 13:2 
0.002737 2:1 4:2 8:4 13:1 
0.001678 2:1 4:2 8:1 13:4 
0.008240 2:1 4:2 8:0 14:2 
0.001747 2:1 4:2 8:7 13:1 
0.005293 2:1 4:2 8:2 15:1 
0.002731 2:1 4:2 8:3 13:2 
0.001834 2:1 4:2 8:5 15:1 
0.008643 2:1 4:2 8:0 14:3 
0.001111 2:1 4:2 8:5 14:3 
0.002957 2:1 4:2 8:4 14:1 
0.003846 2:1 4:2 8:0 14:6 
0.002297 2:1 4:2 8:5 14:1 
0.003388 2:1 4:2 8:2 14:1 
0.005113 2:1 4:2 8:4 15:3 
0.009027 2:1 4:2 8:1 14:3 
0.000894 2:1 4:2 8:5 13:3 
0.003006 2:1 4:2 8:6 13:1 
0.008763 2:1 4:2 8:4 14:5 
0.001833 2:1 4:2 8:0 14:7 
0.006469 2:1 4:2 8:0 14:4 
0.002991 2:1 4:2 8:4 15:2 
0.010390 2:1 4:2 8:0 15:3 
0.004881 2:1 4:2 8:2 14:3 
0.003963 2:1 4:2 8:2 13:3 
0.007876 2:1 4:2 8:0 15:2 
0.018794 2:1 4:2 8:0 13:5 
0.004686 2:1 4:2 8:0 13:3 
0.009637 2:1 4:2 8:0 15:4 
0.004359 2:1 4:2 8:2 14:2 
0.008326 2:1 4:2 8:0 15:1 
0.006070 2:1 4:2 8:2 14:4 
0.001859 2:1 4:2 8:6 14:2 
0.003686 2:1 4:2 8:4 14:3 
0.001546 2:1 4:2 8:6 14:3 
0.002687 2:1 4:2 8:3 15:2 
0.004618 2:1 4:2 8:4 13:3 
0.004340 2:1 4:2 8:3 14:3 
0.007938 2:1 4:2 8:1 14:4 
0.003472 0:1 7:7 11:2 14:1 
0.009267 0:1 7:7 11:0 14:3 
0.004121 0:1 7:7 11:1 14:3 
0.004926 0:1 7:7 11:2 12:2 
0.005533 0:1 7:7 11:0 14:4 
0.009569 0:1 7:7 11:1 12:2 
0.007368 0:1 7:7 11:2 13:1 
0.011690 0:1 7:7 11:0 12:3 
0.010217 0:1 7:7 11:1 12:3 
0.006098 0:1 7:7 11:2 12:1 
0.049294 0:1 7:7 11:0 13:2 
0.021205 0:1 7:7 11:0 12:1 
0.032143 0:1 7:7 11:0 13:1 
0.002000 0:1 7:7 11:1 12:4 
0.015711 0:1 7:7 11:0 12:4 
0.013098 0:1 7:7 11:1 14:2 
0.016702 0:1 7:7 11:0 14:2 
0.015319 0:1 7:7 11:0 12:2 
0.029680 0:1 7:7 11:0 13:4 
0.009886 0:1 7:7 11:1 13:2 
0.009002 0:1 7:7 11:1 14:1 
0.018340 0:1 7:7 11:1 13:1 
0.062939 0:1 7:7 11:0 13:3 
0.015662 0:1 7:7 11:0 14:1 
0.007888 0:1 7:7 11:1 12:1 
0.014194 1:1 4:2 8:3 15:5 
0.004961 1:1 4:2 8:1 14:6 
0.004988 1:1 4:2 8:1 15:7 
0.023506 1:1 4:2 8:0 13:6 
0.016051 1:1 4:2 8:4 13:5 
0.002953 1:1 4:2 8:3 15:6 
0.006452 1:1 4:2 8:4 15:4 
0.015121 1:1 4:2 8:4 15:5 
